age_group,kf_mean,ke_mean,apf_mean,ad_mean,hf_mean,her_mean,hir_mean,ef_mean,ee_mean,ser_mean,sir_mean,kf_sd,ke_sd,apf_sd,ad_sd,hf_sd,her_sd,hir_sd,ef_sd,ee_sd,ser_sd,sir_sd
3,140,5,62,28,129,29,41,144,6,100,73,5,4,10,3,10,13,10,7,6,18,18
4,141,6,63,32,131,31,43,146,7,100,69,6,5,9,8,7,7,8,5,5,13,8
5,145,5,64,30,134,28,40,148,8,99,69,5,5,7,6,8,9,10,6,5,8,10
6,146,4,65,31,137,33,46,147,9,102,64,4,3,6,9,10,8,12,5,5,16,17
7,146,2,63,33,137,33,45,150,10,95,66,4,2,14,6,8,11,10,3,5,12,9
8,143,1,59,29,128,35,41,146,6,96,68,5,3,8,5,9,11,6,5,4,9,15
9,144,3,68,33,137,33,45,147,8,101,65,7,3,5,8,12,11,5,6,5,8,9
10,148,3,62,38,129,29,43,149,6,96,67,6,1,4,8,11,6,6,3,7,11,7
11,146,3,67,35,130,33,42,151,9,93,74,4,2,6,5,7,7,6,3,4,21,14
12,141,2,66,28,124,31,38,147,9,94,69,10,2,9,8,14,10,9,5,7,13,14
13,141,1,62,30,124,29,38,149,6,103,60,6,3,8,10,13,10,7,5,4,9,11
14,140,2,62,27,121,27,38,150,8,93,59,4,2,9,3,6,3,7,3,4,9,6
15,139,4,64,28,120,30,39,151,8,89,66,8,4,4,5,5,8,3,3,5,8,11
16,141,2,64,27,123,31,41,146,7,92,65,4,3,6,3,8,5,5,6,5,9,9
17,139,3,57,30,120,28,38,150,8,84,72,5,3,7,3,11,7,11,2,5,12,13
18,142,2,62,32,127,39,36,150,7,96,62,6,2,3,7,5,15,8,5,6,14,14
19,141,2,60,30,126,28,41,153,9,95,64,2,2,7,4,9,6,9,3,6,8,12
20,138,2,57,32,123,26,38,151,7,85,64,2,3,8,5,10,11,7,4,6,15,17
21,139,2,60,31,126,30,40,151,6,90,63,6,2,10,5,9,11,9,5,5,18,15
31,137,3,66,29,122,26,40,149,4,82,66,7,3,9,7,8,7,9,6,4,13,14
41,137,1,64,28,122,26,42,149,3,82,62,5,2,8,7,9,7,9,4,5,10,11
51,134,1,61,29,120,25,40,148,2,76,63,7,3,8,6,12,6,8,7,4,17,14
61,132,0,58,28,117,24,37,149,1,75,65,7,2,9,6,10,7,8,5,5,13,10
71,131,0,57,26,114,22,34,148,0,72,63,7,1,6,6,10,6,9,5,5,14,13
81,129,0,58,26,106,20,34,148,-1,67,61,10,2,6,7,16,5,7,5,5,13,12
91,113,2,54,12,105,15,14,140,-11,48,65,0,0,0,0,0,0,0,0,0,0,0