age_group,nf_mean,ne_mean,apf_mean,ad_mean,kf_mean,ke_mean,hf_mean,her_mean,hir_mean,ef_mean,ee_mean,ser_mean,sir_mean,nf_sd,ne_sd,apf_sd,ad_sd,kf_sd,ke_sd,hf_sd,her_sd,hir_sd,ef_sd,ee_sd,ser_sd,sir_sd
3,80,73,65,31,142,8,135,33,41,149,6,95,63,14,16,5,9,4,2,7,9,8,5,2,8,14
4,70,76,62,31,142,6,129,32,38,144,6,95,69,13,18,6,7,3,3,12,8,7,5,6,11,15
5,68,82,65,30,144,5,134,31,40,146,8,102,69,11,13,8,5,5,3,8,7,4,6,4,14,15
6,72,79,65,36,147,2,135,30,39,144,7,95,73,16,15,6,6,5,2,8,5,7,4,5,12,13
7,72,80,60,34,147,3,133,27,35,144,6,100,64,6,18,3,5,6,2,9,6,8,6,4,10,13
8,76,90,63,34,147,4,134,36,41,146,7,100,70,9,11,8,8,4,2,6,9,10,5,5,17,11
9,68,89,59,34,144,1,128,32,42,147,7,100,58,17,12,8,7,6,1,10,9,10,5,4,8,11
10,73,70,58,34,147,3,125,32,41,147,7,100,66,8,17,5,3,5,3,9,5,5,6,4,13,12
11,64,74,63,30,147,3,129,31,44,151,3,102,68,14,12,11,8,3,2,11,5,8,3,4,11,12
12,73,72,61,35,139,3,119,35,40,148,9,95,61,9,10,7,7,7,3,9,9,12,5,6,15,9
13,68,72,55,33,143,0,122,29,35,149,5,98,67,11,10,7,4,6,0,5,4,9,7,5,11,6
14,66,70,55,33,140,3,115,33,39,149,0,86,63,10,9,8,4,6,3,10,8,7,2,7,8,16
15,71,64,59,30,137,1,116,32,37,145,5,90,63,11,13,9,5,4,2,8,7,8,5,6,9,16
16,61,59,57,28,137,1,113,31,32,150,2,90,57,12,20,4,4,5,2,12,6,9,6,4,13,14
17,64,63,58,31,135,3,116,29,36,146,2,94,60,11,14,6,7,4,4,9,3,10,6,5,12,8
18,58,58,58,32,133,2,120,28,30,147,5,87,58,13,8,6,3,3,2,4,7,6,4,5,10,4
19,63,71,58,33,138,2,123,32,39,147,4,89,61,11,6,4,6,4,2,4,3,6,4,4,9,12
20,68,61,54,32,138,3,119,33,46,151,9,85,55,12,4,4,5,7,2,12,9,17,3,2,13,13
21,60,64,57,33,138,2,121,30,35,147,4,85,58,12,14,8,6,5,2,9,8,8,5,4,16,14
31,61,59,56,32,136,2,121,31,38,148,2,86,59,9,11,7,7,5,2,8,8,8,4,4,10,9
41,58,56,56,32,135,1,119,29,36,146,0,84,57,10,13,8,5,7,2,10,9,7,5,5,11,11
51,58,50,56,32,134,0,119,31,35,147,0,77,60,12,12,7,6,6,2,7,7,7,4,5,12,12
61,60,47,54,33,134,0,118,27,36,147,1,75,57,12,11,7,6,7,2,11,8,8,6,4,11,10
71,54,37,51,30,132,-1,113,24,31,146,-2,68,59,10,12,7,5,7,2,10,7,7,6,5,13,11
81,49,36,52,29,131,-2,112,26,31,144,-4,68,56,10,11,6,6,9,3,10,6,7,6,5,11,12